FID,OBJECTID,LabNumber,PDRNumber,Collected_,CtValue,Results,Host,Lab_Set,Cycle_No,Month_,Year_,Program_ID,Activity_I,Situation_,Address,City,State,Zip,County,GRID_NUMBE,Latitude,Longitude,X_ref,Y_ref
0,57,17-37280,130P06728947,7/12/2017,39.77561569,NEG,Mexican Lime,CDFA, ,7,2017,HLB,42,63,1137 Paseo Del Conquistador,Calexico,CA,92231,Imperial, ,32.67318,-115.48118,424319,-583108
1,65,17-37306,130P06728953,7/14/2017,39.08146667,NEG,Mandarin,CDFA, ,7,2017,HLB,42,63,52 Second St.,Calexico,CA,92231,Imperial, ,32.6677,-115.5285,419907,-583924
2,77,17-40340,130P06728970,7/18/2017,39.32645035,NEG,Lime,CDFA, ,7,2017,HLB,42,63,831 Rockwood Avenue,Calexico,CA,92231,Imperial, ,32.6751,-115.4964,422880,-582963
3,89,17-40302,130P06728979,7/20/2017,38.91580582,NEG,Lemon,CDFA, ,7,2017,HLB,42,63,521 Paulin Avenue,Calexico,CA,92231,Imperial, ,32.67029,-115.49764,422789,-583501
4,104,17-47360,130P06729273,8/29/2017,39.89780045,NEG,Lemon,CDFA, ,8,2017,HLB,42,63,525 Anderholt Road,Calexico,CA,92231,Imperial, ,32.688993,-115.413952,430542,-581055
5,109,17-48294,130P06729287,9/5/2017,38.64317322,NEG,Lemon,CDFA, ,9,2017,HLB,42,63,1790 West Highway 98,Calexico,CA,92231,Imperial, ,32.681581,-115.691621,404530,-583098
6,222,17-35235,130P06729405,6/20/2017,39.94594955,NEG,Orange,CDFA, ,6,2017,HLB,42,63,2295 E. Hwy 98,Calexico,CA,92231,Imperial, ,32.68616,-115.34477,437047,-581052
7,235,17-40281,130P06730515,7/27/2017,39.11616898,NEG,Grapefruit,CDFA, ,7,2017,HLB,42,63,1790 W. Highway 98,Calexico,CA,92231,Imperial, ,32.68157,-115.69164,404528,-583099
8,239,17-40261,130P06730516,7/27/2017,37.96291351,NEG,Lemon,CDFA, ,7,2017,HLB,42,63,1790 W. Highway 98,Calexico,CA,92231,Imperial, ,32.68157,-115.69164,404528,-583099
9,281,17-49756,130P06786209,9/12/2017,39.18985367,NEG,Orange,CDFA, ,9,2017,HLB,42,63,1652 ZENOS RD.,Holtville,CA,92250,Imperial, ,32.8129,-115.3934,431803,-567256
10,289,17-47350,130P06789384,8/24/2017,39.25802994,NEG,Lemon,CDFA, ,8,2017,HLB,42,63,1275 Highway 98,Calexico,CA,92231,Imperial, ,32.67328,-115.42577,429517,-582847
11,293,17-40285,130P06789824,7/20/2017,38.03031921,NEG,Lemon,CDFA, ,7,2017,HLB,42,63,731 E. 1st Street,Calexico,CA,92231,Imperial, ,32.6658,-115.4884,423680,-583956
12,297,17-40348,130P06789827,7/24/2017,39.08860016,NEG,Lemon,CDFA, ,7,2017,HLB,42,63,961 Eady Avenue,Calexico,CA,92231,Imperial, ,32.67887,-115.51151,421443,-582613
13,317,17-40308,130P06789841,7/26/2017,39.98609543,NEG,Lime,CDFA, ,7,2017,HLB,42,63,117 McKinley Street,Calexico,CA,92231,Imperial, ,32.67617,-115.50081,422461,-582864
14,325,17-40223,130P06789847,7/28/2017,38.15970993,NEG,Lemon,CDFA, ,7,2017,HLB,42,63,904 W. Highway 98,Calexico,CA,92231,Imperial, ,32.67977,-115.61401,411821,-582964
15,357,17-40260,130P06789871,7/28/2017,39.36884308,NEG,Mandarin,CDFA, ,7,2017,HLB,42,63,1167 Cabana Street,Calexico,CA,92231,Imperial, ,32.69012,-115.47964,424374,-581227
16,435,17-43527,130P06790091,8/7/2017,39.35797119,NEG,Grapefruit,CDFA, ,8,2017,HLB,42,63,3675 E Hwy 98,Winterhaven,CA,92283,Imperial, ,32.7071,-115.21944,448686,-578151
17,443,17-47152,130P06790098,8/16/2017,39.21249008,NEG,calamondin,CDFA, ,8,2017,HLB,42,63,594 Ferrell Rd,Calexico,CA,92231,Imperial, ,32.68608,-115.58538,414475,-582142
18,460,17-35241,130P06790224,6/29/2017,39.51388168,NEG,Orange,CDFA, ,6,2017,HLB,42,63,2307 Hwy 98,Holtville,CA,92250,Imperial, ,32.69219,-115.33626,437812,-580346
19,511,17-40203,130P06790238,7/24/2017,39.00333786,NEG,Orange,CDFA, ,7,2017,HLB,42,63,757 Lincoln Street,Calexico,CA,92231,Imperial, ,32.67553,-115.51324,421298,-582991
20,527,17-43362,130P06790243,8/1/2017,38.84138107,NEG,Grapefruit,CDFA, ,8,2017,HLB,42,63,101 W. Cole Road,Calexico,CA,92231,Imperial, ,32.69409,-115.54324,418387,-581070
21,572,17-43382,130P06790268,8/1/2017,38.04977798,NEG,Orange,CDFA, ,8,2017,HLB,42,63,2295 Highway 98,Holtville,CA,92250,Imperial, ,32.68616,-115.34477,437047,-581052
22,588,17-43401,130P06790272,8/4/2017,38.24026108,NEG,Lime,CDFA, ,8,2017,HLB,42,63,1225 E 5th St,Calexico,CA,92231,Imperial, ,32.67011,-115.4763,424793,-583425
23,625,17-47585,130P06786180,8/24/2017,39.47345352,NEG,Lemon,CDFA, ,8,2017,HLB,42,63,1313 E. Highway 98,Calexico,CA,92231,Imperial, ,32.68842,-115.42087,429896,-581150
24,639,17-40292,130P06789910,7/27/2017,38.88304901,NEG,Lemon,CDFA, ,7,2017,HLB,42,63,565 Scaroni Road,Calexico,CA,92231,Imperial, ,32.69152,-115.50801,421705,-581199
25,660,17-43577,130P06789925,8/2/2017,38.74731827,NEG,Orange,CDFA, ,8,2017,HLB,42,63,1178 Rainbow Avenue,Calexico,CA,92231,Imperial, ,32.68258,-115.52074,420557,-582244
26,701,17-47462,130P06789956,8/22/2017,38.84318542,NEG,Lime,CDFA, ,8,2017,HLB,42,63,532 Sam Ellis Street,Calexico,CA,92231,Imperial, ,32.68419,-115.50929,421623,-582015
27,708,17-47571,130P06789961,8/23/2017,38.92028046,NEG,Lemon,CDFA, ,8,2017,HLB,42,63,109 John Kennedy Street,Calexico,CA,92231,Imperial, ,32.69024,-115.49838,422615,-581297
28,714,17-43581,130P06789964,8/7/2017,39.63224792,NEG,Lemon,CDFA, ,8,2017,HLB,42,63,1236 McMillin St,Calexico,CA,92231,Imperial, ,32.67751,-115.4757,424810,-582604
29,717,17-43546,130P06789967,8/8/2017,38.37077332,NEG,Orange,CDFA, ,8,2017,HLB,42,63,1149 Paseo Camino Real,Calexico,CA,92231,Imperial, ,32.67571,-115.48056,424363,-582825
30,718,17-43529,130P06789968,8/8/2017,38.68833923,NEG,Lemon,CDFA, ,8,2017,HLB,42,63,801 E. Rivera Avenue,Calexico,CA,92231,Imperial, ,32.67352,-115.47408,424983,-583038
31,725,17-47580,130P06790049,8/23/2017,38.38137436,NEG,Orange,CDFA, ,8,2017,HLB,42,63,2151 Rockwood Avenue,Calexico,CA,92231,Imperial, ,32.6886,-115.49562,422883,-581466
32,747,17-47460,130P06790112,8/22/2017,39.91176987,NEG,Lemon,CDFA, ,8,2017,HLB,42,63,839 Cole Road,Calexico,CA,92231,Imperial, ,32.69369,-115.46306,425910,-580758
33,754,17-43549,130P06790127,8/2/2017,39.56524277,NEG,Mexican Lime,CDFA, ,8,2017,HLB,42,63,1224 P Montejano Street,Calexico,CA,92231,Imperial, ,32.67368,-115.47633,424771,-583031
34,780,17-43330,130P06790283,8/8/2017,38.96207809,NEG,Grapefruit,CDFA, ,8,2017,HLB,42,63,1004 Desert View St,Calexico,CA,92231,Imperial, ,32.6804,-115.5193,420704,-582479
35,790,17-43373,130P06790287,8/2/2017,38.04501724,NEG,Lemon,CDFA, ,8,2017,HLB,42,63,1100 Villa Allegra Drive,Calexico,CA,92231,Imperial, ,32.68739,-115.48232,424137,-581541
36,808,17-43452,130P06790291,8/14/2017,39.25670242,NEG,Orange,CDFA, ,8,2017,HLB,42,63,1790 Hwy 98,Calexico,CA,92231,Imperial, ,32.680239,-115.689962,404692,-583240
37,875,17-43557,130P06790316,8/1/2017,39.01792526,NEG,Grapefruit,CDFA, ,8,2017,HLB,42,63,1295 Highway 98,Calexico,CA,92231,Imperial, ,32.69205,-115.42288,429688,-580758
38,889,17-43407,130P06790320,8/4/2017,39.08353806,NEG,Lemon,CDFA, ,8,2017,HLB,42,63,1303 E Hwy 98,Calexico,CA,92231,Imperial, ,32.688316,-115.417873,430178,-581148
39,892,17-43479,130P06790321,8/7/2017,39.19807053,NEG,Grape Fruit,CDFA, ,8,2017,HLB,42,63,525 Anderholt Rd,Calexico,CA,92231,Imperial, ,32.688993,-115.413952,430542,-581055
40,906,17-43475,130P06790329,8/3/2017,39.38169479,NEG,Mandarin,CDFA, ,8,2017,HLB,42,63,1601 Highway 98,Calexico,CA,92231,Imperial, ,32.6903,-115.39515,432298,-580825
41,945,17-47161,130P06790334,8/16/2017,39.28437042,NEG,Orange,CDFA, ,8,2017,HLB,42,63,595 Ferrell Rd,Calexico,CA,92231,Imperial, ,32.69141,-115.586759,414318,-581558
42,1013,17-43437,130P06790370,8/14/2017,39.18848801,NEG,Grapefruit,CDFA, ,8,2017,HLB,42,63,1790 Hwy 98,Calexico,CA,92231,Imperial, ,32.680239,-115.689962,404692,-583240
43,1018,17-47401,130P06790371,8/29/2017,36.54186249,NEG,Citrus,CDFA, ,8,2017,HLB,42,63,1315A E. Highway 98,Calexico,CA,92231,Imperial, ,32.68877,-115.42041,429937,-581109
44,1022,17-47405,130P06790371,8/29/2017,39.34377289,NEG,Grapefruit,CDFA, ,8,2017,HLB,42,63,1315A E. Highway 98,Calexico,CA,92231,Imperial, ,32.68877,-115.42041,429937,-581109
45,1048,17-47448,130P06819574,8/24/2017,39.16080093,NEG,Lime,CDFA, ,8,2017,HLB,42,63,1295 Highway 98,Calexico,CA,92231,Imperial, ,32.69205,-115.4226,429714,-580757
46,1168,17-45101,150P06152831,8/15/2017,39.47880554,NEG,CITRUS,CDFA, ,8,2017,HLB,21,23,31452 Old River Road,Bakersfield,CA,93311,Kern, ,35.0457,-119.2673,66792.79688,-329856
47,1194,17-45067,150P06152831,8/15/2017,39.4,NEG,CITRUS,CDFA, ,8,2017,HLB,21,23,31452 Old River Road,Bakersfield,CA,93311,Kern, ,35.0457,-119.2673,66792.79688,-329856
48,1223,17-49362,AM0P06416506,9/11/2017,39.246521,NEG,Lemon,CDFA, ,9,2017,HLB,42,63,1173 W Beacon Ave,Anaheim,CA,92802,Orange, ,33.820735,-117.926617,191969,-463950
49,1248,17-45671,AM0P06558045,8/23/2017,39.83376312,NEG,Lemon Orange Graft,CDFA, ,8,2017,HLB,42,63,1684 W Chateau Pl,Anaheim,CA,92802,Orange, ,33.82067,-117.94101,190636,-463987
50,1269,17-48214,AM0P06564612,8/31/2017,39.81106949,NEG,Lemon,CDFA, ,8,2017,HLB,42,63,1144 W Locust Ave,Anaheim,CA,92802,Orange, ,33.822472,-117.925795,192040,-463756
51,1274,17-48208,AM0P06564896,8/31/2017,39.19473648,NEG,Lemon,CDFA, ,8,2017,HLB,42,63,1183 W Hampshire Ave,Anaheim,CA,92802,Orange, ,33.819745,-117.927368,191901,-464062
52,1278,17-49159,AM0P06564897,9/7/2017,39.47855759,NEG,Lemon,CDFA, ,9,2017,HLB,41,63,952 S Caplan St,Anaheim,CA,92802,Orange, ,33.818498,-117.924898,192133,-464195
53,1321,17-49344,AM0P06564941,9/11/2017,31.42509079,POSITIVE,Kumquat,CDFA, ,9,2017,HLB,42,63,2102 W Crestwood Ln,Anaheim,CA,92804,Orange, ,33.806271,-117.955112,189365,-465611
54,1323,17-49346,AM0P06564941,9/11/2017,26.99915314,POSITIVE,Lemon,CDFA, ,9,2017,HLB,42,63,2102 W Crestwood Ln,Anaheim,CA,92804,Orange, ,33.806271,-117.955112,189365,-465611
55,1328,17-45533,AM0P06564943,8/22/2017,39.33382797,NEG,Lime,CDFA, ,8,2017,HLB,42,63,1216 E Flower St,Anaheim,CA,92805,Orange, ,33.841883,-117.903006,194102,-461557
56,1365,17-48047,AM0P06564976,8/30/2017,39.99749374,NEG,Calamondin,CDFA, ,8,2017,HLB,42,63,1166 W Beacon Ave,Anaheim,CA,92802,Orange, ,33.820761,-117.926277,192000,-463947
57,1387,17-47254,AM0P06564983,8/29/2017,39.23603821,NEG,Calamondin,CDFA, ,8,2017,HLB,12,63,264 N Pauline St,Anaheim,CA,92805,Orange, ,33.838917,-117.907549,193689,-461896
58,1401,17-49572,AM0P06564990,9/12/2017,39.18553162,NEG,Kumquat,CDFA, ,9,2017,HLB,42,63,1143 W Chateau Ave,Anaheim,CA,92802,Orange, ,33.8218,-117.925559,192064,-463830
59,1407,17-34897,AM0P06565124,6/30/2017,38.43081284,NEG,lime,CDFA, ,6,2017,HLB,42,63,150 N East St,Anaheim,CA,92805,Orange, ,33.838956,-117.902942,194116,-461882
60,1420,17-36144,AM0P06565128,7/11/2017,38.61848068,NEG,Grapefruit,CDFA, ,7,2017,HLB,42,63,227 N Lincoln Ave,Fullerton,CA,92831,Orange, ,33.873569,-117.910886,193296,-458060
61,1454,17-36270,AM0P06566432,7/11/2017,38.44908524,NEG,Lemon,CDFA, ,7,2017,HLB,42,63,321 S Rose St. Unit 4,Anaheim,CA,92805,Orange, ,33.834885,-117.902403,194175,-462332
62,1466,17-40086,AM0P06566579,8/1/2017,39.43994522,NEG,Orange,CDFA, ,8,2017,HLB,42,63,2525 E Paladin Ave,Anaheim,CA,92806,Orange, ,33.822151,-117.879453,196331,-463697
63,1471,17-49097,AM0P06566678,9/8/2017,27.51802063,POSITIVE,Lemon,CDFA, ,9,2017,HLB,42,63,10142 Becca Dr,Garden Grove,CA,92840,Orange, ,33.802519,-117.956091,189284,-466029
64,1475,17-49114,AM0P06566678,9/8/2017,38.49230957,NEG,Calamondin,CDFA, ,9,2017,HLB,42,63,10142 Becca Dr,Garden Grove,CA,92840,Orange, ,33.802519,-117.956091,189284,-466029
65,1476,17-49112,AM0P06566678,9/8/2017,28.95547867,POSITIVE,Calamondin,CDFA, ,9,2017,HLB,42,63,10142 Becca Dr,Garden Grove,CA,92840,Orange, ,33.802519,-117.956091,189284,-466029
66,1477,17-49106,AM0P06566678,9/8/2017,26.52377129,POSITIVE,Orange,CDFA, ,9,2017,HLB,42,63,10142 Becca Dr,Garden Grove,CA,92840,Orange, ,33.802519,-117.956091,189284,-466029
67,1484,17-49055,AM0P06566680,9/9/2017,39.15462112,NEG,Kumquat,CDFA, ,9,2017,HLB,42,63,10131 Flanner Ave,Garden Grove,CA,92840,Orange, ,33.801808,-117.956322,189264,-466109
68,1487,17-49052,AM0P06566680,9/9/2017,38.22481918,NEG,Kaffir Lime,CDFA, ,9,2017,HLB,42,63,10131 Flanner Ave,Garden Grove,CA,92840,Orange, ,33.801808,-117.956322,189264,-466109
69,1489,17-49981,AM0P06566681,9/13/2017,32.57448578,POSITIVE,Lime,CDFA, ,9,2017,HLB,42,63,10172 Becca Dr,Garden Grove,CA,92840,Orange, ,33.802519,-117.955692,189321,-466028
70,1556,17-48854,AM0P06566696,9/6/2017,39.36767578,NEG,Orange,CDFA, ,9,2017,HLB,42,63,1106 W South St,Anaheim,CA,92802,Orange, ,33.823575,-117.92457,192151,-463631
71,1569,17-48165,AM0P06566699,8/31/2017,39.46235657,NEG,Lemon,CDFA, ,8,2017,HLB,42,63,607 S Hazelwood St,Anaheim,CA,92802,Orange, ,33.824932,-117.926406,191978,-463485
72,1581,17-41957,AM0P06567140,8/8/2017,25.43688393,POSITIVE,lemon,CDFA, ,8,2017,HLB,42,63,2030 W Judith Ln,Anaheim,CA,92804,Orange, ,33.80473,-117.95361,189508,-465779
73,1586,17-47728,AM0P06567141,8/30/2017,29.19270515,POSITIVE,Grapefruit,CDFA, ,8,2017,HLB,42,63,2121 S Oertley Dr,Anaheim,CA,92802,Orange, ,33.79538,-117.9105,193523,-466729
74,1587,17-47732,AM0P06567141,8/30/2017,26.00788879,POSITIVE,Orange,CDFA, ,8,2017,HLB,42,63,2121 S Oertley Dr,Anaheim,CA,92802,Orange, ,33.79538,-117.9105,193523,-466729
75,1592,17-48866,AM0P06567142,9/6/2017,39.36343765,NEG,Lemon,CDFA, ,9,2017,HLB,42,63,1025 S Verde St,Anaheim,CA,92805,Orange, ,33.822847,-117.889884,195364,-463641
76,1598,17-36261,AM0P06567164,7/11/2017,38.59766769,NEG,Orange,CDFA, ,7,2017,HLB,42,63,1229 E Oak St,Anaheim,CA,92805,Orange, ,33.837442,-117.900999,194299,-462046
77,1601,17-36258,AM0P06567164,7/11/2017,39.48812103,NEG,Mandarin,CDFA, ,7,2017,HLB,42,63,1229 E Oak St,Anaheim,CA,92805,Orange, ,33.837442,-117.900999,194299,-462046
78,1608,17-36265,AM0P06567164,7/11/2017,37.96056747,NEG,Orange,CDFA, ,7,2017,HLB,42,63,1229 E Oak St,Anaheim,CA,92805,Orange, ,33.837442,-117.900999,194299,-462046
79,1621,17-35327,AM0P06567174,7/7/2017,39.8346138,NEG,key lime,CDFA, ,7,2017,HLB,42,63,1420 E Beta Pl,Anaheim,CA,92805,Orange, ,33.833088,-117.896235,194751,-462519
80,1665,17-34720,AM0P06567216,6/29/2017,39.51,NEG,Lemon,CDFA, ,6,2017,HLB,42,63,422 S Vine St,Anaheim,CA,92805,Orange, ,33.833297,-117.904479,193987,-462512
81,1677,17-36155,AM0P06567217,7/10/2017,38.84746552,NEG,Orange,CDFA, ,7,2017,HLB,42,63,1811 E Elm St,Anaheim,CA,92805,Orange, ,33.837397,-117.891617,195167,-462031
82,1740,17-48037,AM0P06566708,8/30/2017,39.37480927,NEG,Orange,CDFA, ,8,2017,HLB,42,63,1198 W South St,Anaheim,CA,92802,Orange, ,33.822671,-117.928334,191805,-463739
83,1780,17-45656,AM0P06566723,8/23/2017,39.17796326,NEG,Lime,CDFA, ,8,2017,HLB,42,63,930 S Pepper St,Anaheim,CA,92802,Orange, ,33.819237,-117.925771,192051,-464115
84,1794,17-45674,AM0P06566725,8/23/2017,39.55374908,NEG,Lemon,CDFA, ,8,2017,HLB,42,63,1683 W Beacon Ave,Anaheim,CA,92802,Orange, ,33.82039,-117.94098,190640,-464018
85,1804,17-34759,AM0P06566874,6/30/2017,39.08760452,NEG,lemon,CDFA, ,6,2017,HLB,42,63,331 S Kroeger St,Anaheim,CA,92805,Orange, ,33.833543,-117.906893,193763,-462490
86,1856,17-41744,AM0P06566937,8/7/2017,27.80654907,POSITIVE,Lemon,CDFA, ,8,2017,HLB,42,63,2095 W Folsom St,Anaheim,CA,92804,Orange, ,33.806548,-117.954327,189437,-465579
87,1857,17-41750,AM0P06566937,8/7/2017,24.79221153,POSITIVE,lemon,CDFA, ,8,2017,HLB,42,63,2095 W Folsom St,Anaheim,CA,92804,Orange, ,33.806548,-117.954327,189437,-465579
88,1925,17-41017,AM0P06567017,8/3/2017,38.22003937,NEG,Citrus,CDFA, ,8,2017,HLB,42,63,1313 S Disneyland Dr,Anaheim,CA,92802,Orange, ,33.81201,-117.91821,192768,-464901
89,1928,17-41018,AM0P06567017,8/3/2017,39.05915833,NEG,Citrus,CDFA, ,8,2017,HLB,42,63,1313 S Disneyland Dr,Anaheim,CA,92802,Orange, ,33.81201,-117.91821,192768,-464901
90,1937,17-41010,AM0P06567017,8/3/2017,38.3325386,NEG,Citrus,CDFA, ,8,2017,HLB,42,63,1313 S Disneyland Dr,Anaheim,CA,92802,Orange, ,33.81201,-117.91821,192768,-464901
91,1946,17-40970,AM0P06567017,8/3/2017,39.24598312,NEG,Citrus,CDFA, ,8,2017,HLB,42,63,1313 S Disneyland Dr,Anaheim,CA,92802,Orange, ,33.81201,-117.91821,192768,-464901
92,1952,17-40976,AM0P06567017,8/3/2017,37.0945549,NEG,Citrus,CDFA, ,8,2017,HLB,42,63,1313 S Disneyland Dr,Anaheim,CA,92802,Orange, ,33.81201,-117.91821,192768,-464901
93,1965,17-40965,AM0P06567017,8/3/2017,37.71704483,NEG,Citrus,CDFA, ,8,2017,HLB,42,63,1313 S Disneyland Dr,Anaheim,CA,92802,Orange, ,33.81201,-117.91821,192768,-464901
94,1983,17-49067,AM0P06567055,9/7/2017,24.90695763,POSITIVE,Lime,CDFA, ,9,2017,HLB,42,63,2123 W Crestwood Ln,Anaheim,CA,92804,Orange, ,33.806362,-117.955841,189298,-465603
95,1985,17-49062,AM0P06567055,9/7/2017,25.1583252,POSITIVE,Lemon,CDFA, ,9,2017,HLB,42,63,2123 W Crestwood Ln,Anaheim,CA,92804,Orange, ,33.806362,-117.955841,189298,-465603
96,1998,17-40005,AM0P06567109,8/1/2017,27.83,POSITIVE,Lemon,CDFA, ,8,2017,HLB,42,63,2121 W Harle Ave,Anaheim,CA,92804,Orange, ,33.8096,-117.95604,189271,-465244
97,2006,17-40546,AM0P06567110,8/2/2017,39.11919785,NEG,Mexican Lime,CDFA, ,8,2017,HLB,42,63,1114 S Reseda St,Anaheim,CA,92806,Orange, ,33.821262,-117.888169,195526,-463813
98,2010,17-40581,AM0P06567111,8/2/2017,39.15846634,NEG,Tangerine,CDFA, ,8,2017,HLB,42,63,1109 S Torry Pl,Anaheim,CA,92806,Orange, ,33.82146,-117.887297,195607,-463790
99,2042,17-41090,AM0P06567116,8/3/2017,38.35081482,NEG,Lemon,CDFA, ,8,2017,HLB,42,63,1102 S Reseda St,Anaheim,CA,92806,Orange, ,33.821649,-117.88817,195525,-463770
100,2043,17-41092,AM0P06567116,8/3/2017,39.2986412,NEG,Orange,CDFA, ,8,2017,HLB,42,63,1102 S Reseda St,Anaheim,CA,92806,Orange, ,33.821649,-117.88817,195525,-463770
101,2049,17-41097,AM0P06567116,8/3/2017,39.00883102,NEG,Tangerine,CDFA, ,8,2017,HLB,42,63,1102 S Reseda St,Anaheim,CA,92806,Orange, ,33.821649,-117.88817,195525,-463770
102,2078,17-36721,AM0P06567133,7/13/2017,39.27772522,NEG,Orange,CDFA, ,7,2017,HLB,42,63,127 N Rose St,Anaheim,CA,92805,Orange, ,33.838878,-117.904363,193984,-461893
103,2082,17-36723,AM0P06567133,7/13/2017,39.92276382,NEG,Orange,CDFA, ,7,2017,HLB,42,63,127 N Rose St,Anaheim,CA,92805,Orange, ,33.838878,-117.904363,193984,-461893
104,2132,17-41988,AM0P06567138,8/8/2017,38.70117188,NEG,lemon,CDFA, ,8,2017,HLB,42,63,1719 S Ivanhoe St,Anaheim,CA,92804,Orange, ,33.804653,-117.951375,189715,-465783
105,2134,17-41996,AM0P06567138,8/8/2017,28.00983429,POSITIVE,lemon,CDFA, ,8,2017,HLB,42,63,1719 S Ivanhoe St,Anaheim,CA,92804,Orange, ,33.804653,-117.951375,189715,-465783
106,2137,17-41929,AM0P06567139,8/8/2017,25.93000603,POSITIVE,mandarin,CDFA, ,8,2017,HLB,42,63,1617 S Ivanhoe St,Anaheim,CA,92804,Orange, ,33.80771,-117.95139,189706,-465444
107,2142,17-41926,AM0P06567139,8/8/2017,26.83112526,POSITIVE,tangerine,CDFA, ,8,2017,HLB,42,63,1617 S Ivanhoe St,Anaheim,CA,92804,Orange, ,33.80771,-117.95139,189706,-465444
108,2146,17-41916,AM0P06567139,8/8/2017,36.71371078,POSITIVE,orange,CDFA, ,8,2017,HLB,42,63,1617 S Ivanhoe St,Anaheim,CA,92804,Orange, ,33.80771,-117.95139,189706,-465444
109,2182,17-41101,AM0P06567250,8/4/2017,38.32788086,NEG,Grapefruit,CDFA, ,8,2017,HLB,42,63,1114 S Clarence St,Anaheim,CA,92806,Orange, ,33.821134,-117.8811,196181,-463813
110,2235,17-40083,AM0P06567267,8/1/2017,39.53143311,NEG,Pummelo,CDFA, ,8,2017,HLB,42,63,233 E Cypress St,Anaheim,CA,92805,Orange, ,33.838232,-117.91229,193252,-461981
111,2259,17-41124,AM0P06567290,8/4/2017,39.24732208,NEG,Lemon,CDFA, ,8,2017,HLB,42,63,1307 W Chalet Ave,Anaheim,CA,92802,Orange, ,33.814678,-117.929741,191694,-464628
112,2273,17-41062,AM0P06567313,8/3/2017,37.68913269,NEG,citrus,CDFA, ,8,2017,HLB,42,63,1313 S Disneyland Dr,Anaheim,CA,92802,Orange, ,33.81216,-117.91805,192783,-464884
113,2275,17-41071,AM0P06567313,8/3/2017,38.92061615,NEG,citrus,CDFA, ,8,2017,HLB,42,63,1313 S Disneyland Dr,Anaheim,CA,92802,Orange, ,33.81216,-117.91805,192783,-464884
114,2306,17-41029,AM0P06567313,8/3/2017,38.64112473,NEG,Citrus,CDFA, ,8,2017,HLB,42,63,1313 S Disneyland Dr,Anaheim,CA,92802,Orange, ,33.81216,-117.91805,192783,-464884
115,2332,17-42747,AM0P06567315,8/9/2017,37.60317993,NEG,Lemon,CDFA, ,8,2017,HLB,42,63,431 S Hesperian St,Santa Ana,CA,92703,Orange, ,33.74158,-117.88611,195914,-472643
116,2339,17-42688,AM0P06567316,8/9/2017,38.13186646,NEG,Tangerine,CDFA, ,8,2017,HLB,42,63,10162 Becca Dr,Garden Grove,CA,92840,Orange, ,33.8025,-117.955904,189301,-466031
117,2343,17-42682,AM0P06567316,8/9/2017,29.35121727,POSITIVE,Grapefruit Trifoliate Graft,CDFA, ,8,2017,HLB,42,63,10162 Becca Dr,Garden Grove,CA,92840,Orange, ,33.8025,-117.955904,189301,-466031
118,2344,17-42701,AM0P06567316,8/9/2017,26.26117325,POSITIVE,Mexican Lime,CDFA, ,8,2017,HLB,42,63,10162 Becca Dr,Garden Grove,CA,92840,Orange, ,33.8025,-117.955904,189301,-466031
119,2389,17-44437,AM0P06567362,8/16/2017,38.61948013,NEG,Citrus,CDFA, ,8,2017,HLB,42,63,1313 S Disneyland Dr,Anaheim,CA,92802,Orange, ,33.817066,-117.922326,192375,-464348
120,2415,17-41691,AM0P06567318,8/7/2017,31.38087082,POSITIVE,lemon,CDFA, ,8,2017,HLB,42,63,1913 W Cris Ave,Anaheim,CA,92804,Orange, ,33.80859,-117.95084,189755,-465346
121,2447,17-41740,AM0P06567319,8/7/2017,34.31998062,POSITIVE,orange,CDFA, ,8,2017,HLB,42,63,1620 S Faywood St,Anaheim,CA,92804,Orange, ,33.80753,-117.95202,189649,-465466
122,2474,17-41881,AM0P06567321,8/8/2017,39.00363541,NEG,mexican lime,CDFA, ,8,2017,HLB,42,63,2111 W Crestwood Ln,Anaheim,CA,92804,Orange, ,33.80651,-117.95523,189354,-465585
123,2475,17-41885,AM0P06567321,8/8/2017,31.43908119,POSITIVE,tangerine,CDFA, ,8,2017,HLB,42,63,2111 W Crestwood Ln,Anaheim,CA,92804,Orange, ,33.80651,-117.95523,189354,-465585
124,2476,17-41884,AM0P06567321,8/8/2017,39.11962891,NEG,sweet lime,CDFA, ,8,2017,HLB,42,63,2111 W Crestwood Ln,Anaheim,CA,92804,Orange, ,33.80651,-117.95523,189354,-465585
125,2478,17-41872,AM0P06567321,8/8/2017,31.87652588,POSITIVE,Sweet Lime,CDFA, ,8,2017,HLB,42,63,2111 W Crestwood Ln,Anaheim,CA,92804,Orange, ,33.80651,-117.95523,189354,-465585
126,2479,17-41905,AM0P06567321,8/8/2017,32.81954956,POSITIVE,lemon,CDFA, ,8,2017,HLB,42,63,2111 W Crestwood Ln,Anaheim,CA,92804,Orange, ,33.80651,-117.95523,189354,-465585
127,2480,17-41890,AM0P06567321,8/8/2017,27.87706757,POSITIVE,tangerine,CDFA, ,8,2017,HLB,42,63,2111 W Crestwood Ln,Anaheim,CA,92804,Orange, ,33.80651,-117.95523,189354,-465585
128,2482,17-41894,AM0P06567321,8/8/2017,39.47467804,NEG,tangerine,CDFA, ,8,2017,HLB,42,63,2111 W Crestwood Ln,Anaheim,CA,92804,Orange, ,33.80651,-117.95523,189354,-465585
