"STR_ID","Loc12","Loc13","Loc14","Loc15","Loc16","Loc17","Tree12","Tree13","Tree14","Tree15","Tree16","Tree17"
89754,2,15,0,113,0,1,2,23,0,166,0,1
89755,0,16,0,26,1,1,0,34,0,30,2,1
89756,1,7,0,16,0,1,1,7,0,18,0,3
89757,0,6,0,8,11,0,0,8,0,10,11,0
89759,0,0,0,0,0,3,0,0,0,0,0,3
89760,0,2,0,5,1,4,0,16,0,9,1,4
89774,0,0,0,0,1,0,0,0,0,0,1,0
89776,1,8,0,19,59,0,4,14,0,41,65,0
89777,1,7,0,55,62,31,1,8,0,72,76,51
89778,1,7,0,114,45,53,1,7,0,175,55,72
89779,1,21,1,77,0,41,2,28,1,114,0,54
89780,0,9,0,41,5,29,0,13,0,45,13,39
89781,1,6,0,5,0,0,3,9,0,7,0,0
89782,3,17,2,26,14,0,12,20,2,35,16,0
89783,2,10,0,17,18,2,2,15,0,21,18,2
89784,0,2,0,0,3,0,0,2,0,0,3,0
89799,0,0,0,1,0,0,0,0,0,1,0,0
89800,0,18,0,16,63,40,0,40,0,24,77,58
89801,1,3,0,9,0,1,1,3,0,12,0,1
89802,1,2,0,5,14,1,3,2,0,11,17,1
89803,0,3,0,0,0,0,0,3,0,0,0,0
89804,0,1,0,9,10,0,0,2,0,13,11,0
89805,0,17,0,46,1,1,0,18,0,52,1,1
89806,3,2,0,11,0,46,48,3,0,13,0,66
89807,0,3,0,12,32,39,0,3,0,17,32,53
89816,0,1,0,0,0,0,0,1,0,0,0,0
89817,0,6,0,0,1,0,0,9,0,0,1,0
89818,0,15,0,14,32,72,0,53,0,23,41,107
89819,0,4,0,6,13,0,0,4,0,8,14,0
89820,0,3,0,1,0,0,0,10,0,1,0,0
89821,1,2,0,0,3,0,3,3,0,0,3,0
89822,0,0,0,0,6,1,0,0,0,0,6,1
89823,0,2,0,2,19,10,0,2,0,7,19,12
89824,0,2,0,0,0,10,0,2,0,0,0,13
89832,0,1,0,0,0,0,0,4,0,0,0,0
89833,0,4,0,0,0,0,0,6,0,0,0,0
89834,0,2,0,2,0,0,0,3,0,2,0,0
89835,0,2,0,0,0,0,0,3,0,0,0,0
89836,0,8,0,0,0,0,0,27,0,0,0,0
89837,0,3,0,0,1,0,0,6,0,0,3,0
89838,0,1,0,4,0,0,0,1,0,4,0,0
89839,0,6,0,0,0,0,0,32,0,0,0,0
89847,0,1,0,0,0,0,0,1,0,0,0,0
89848,1,6,0,0,0,0,30,10,0,0,0,0
89849,0,0,2,5,0,0,0,0,2,7,0,0
89850,0,21,0,14,15,0,0,64,0,17,15,0
89851,0,1,0,0,0,0,0,1,0,0,0,0
89852,1,3,0,3,0,0,2,5,0,3,0,0
89853,0,2,0,0,0,0,0,5,0,0,0,0
89854,0,6,0,9,0,0,0,8,0,11,0,0
89860,0,3,0,0,0,0,0,3,0,0,0,0
89861,0,4,0,0,0,0,0,4,0,0,0,0
89862,0,3,0,0,13,0,0,5,0,0,14,0
89865,0,4,0,0,6,0,0,5,0,0,7,0
89869,0,3,0,7,12,0,0,12,0,10,13,0
89875,0,7,0,5,0,0,0,20,0,8,0,0
89876,0,4,0,14,24,0,0,5,0,15,26,0
89884,0,5,0,20,0,0,0,9,0,28,0,0
89885,0,9,0,22,0,0,0,13,0,36,0,0
89887,0,1,0,0,0,0,0,1,0,0,0,0
89890,0,1,0,0,0,0,0,1,0,0,0,0
89891,0,2,0,9,0,0,0,3,0,11,0,0
89907,0,1,0,2,2,0,0,2,0,2,2,0
89909,1,0,0,0,0,0,2,0,0,0,0,0
89911,0,1,0,0,0,0,0,1,0,0,0,0
89913,2,3,0,0,0,0,6,3,0,0,0,0
89919,0,1,0,14,22,0,0,1,0,21,27,0
89922,0,2,0,4,0,0,0,7,0,4,0,0
89924,1,0,0,0,0,0,1,0,0,0,0,0
89925,0,1,1,13,6,0,0,1,1,16,6,0
89926,1,0,0,0,0,0,14,0,0,0,0,0
89935,0,0,1,0,0,0,0,0,2,0,0,0
89936,1,0,0,0,0,1,1,0,0,0,0,25
89938,0,0,0,0,1,0,0,0,0,0,1,0
89941,0,0,1,0,0,0,0,0,1,0,0,0
89944,0,1,0,0,0,0,0,1,0,0,0,0
89953,0,0,4,15,17,21,0,0,4,15,17,21
89956,1,1,0,0,0,0,1,1,0,0,0,0
89959,0,1,0,0,0,0,0,1,0,0,0,0
89962,0,0,0,7,2,0,0,0,0,13,2,0
89963,1,2,4,38,13,12,3,4,4,48,13,12
89964,0,1,9,29,29,29,0,1,9,29,29,29
89965,4,5,1,13,3,2,47,5,1,14,3,2
89966,1,0,2,9,9,3,1,0,2,9,9,3
89967,0,2,0,9,0,0,0,2,0,16,0,0
89968,0,3,5,20,8,3,0,3,5,23,8,3
89969,0,0,0,4,8,0,0,0,0,4,10,0
89970,0,0,0,1,0,0,0,0,0,1,0,0
89971,0,0,2,14,0,1,0,0,2,18,0,1
89972,1,0,0,5,0,0,1,0,0,6,0,0
89973,0,0,0,4,0,0,0,0,0,4,0,0
89974,0,0,7,72,50,21,0,0,7,114,51,21
89975,0,0,6,124,120,80,0,0,6,125,120,80
89976,0,2,0,3,0,0,0,2,0,3,0,0
89977,0,1,0,15,6,5,0,1,0,20,6,5
89978,0,3,2,15,7,9,0,3,2,15,7,9
89979,0,3,9,10,5,5,0,3,9,10,5,5
89980,0,1,0,12,3,1,0,1,0,17,3,1
89981,0,0,1,5,6,0,0,0,1,5,6,0
89983,0,0,0,10,5,1,0,0,0,10,5,1
89984,0,0,2,5,0,1,0,0,2,5,0,1
89985,0,0,0,1,0,0,0,0,0,1,0,0
89986,0,0,5,29,28,12,0,0,5,35,28,12
89987,1,4,1,10,0,0,18,4,1,14,0,0
89988,0,4,1,5,1,1,0,4,1,5,1,1
89989,1,1,0,5,1,1,7,1,0,5,1,1
89990,0,2,1,13,10,3,0,2,1,14,10,3
89991,0,0,0,8,0,0,0,0,0,9,0,0
89992,0,0,0,5,0,0,0,0,0,8,0,0
89993,0,0,0,16,2,0,0,0,0,20,2,0
89995,0,0,0,6,0,0,0,0,0,8,0,0
89996,0,0,0,6,0,0,0,0,0,6,0,0
89997,0,0,0,3,1,0,0,0,0,3,1,0
89998,0,0,2,6,0,1,0,0,4,6,0,1
89999,0,0,0,17,0,1,0,0,0,26,0,1
90000,0,0,0,23,0,0,0,0,0,32,0,0
90001,0,0,1,12,15,6,0,0,1,12,15,6
90005,0,0,0,2,0,0,0,0,0,2,0,0
90006,0,0,0,8,0,0,0,0,0,9,0,0
90007,0,3,0,4,1,0,0,4,0,4,1,0
90009,0,0,7,25,0,0,0,0,8,34,0,0
90010,1,0,0,16,0,0,3,0,0,21,0,0
90011,0,0,0,5,0,0,0,0,0,9,0,0
90015,0,1,8,18,0,0,0,1,13,22,0,0
90016,0,0,0,3,0,0,0,0,0,4,0,0
90017,0,0,0,7,6,0,0,0,0,9,6,0
90018,0,0,0,9,0,0,0,0,0,11,0,0
90019,0,0,0,7,0,0,0,0,0,9,0,0
90020,0,0,0,3,0,0,0,0,0,3,0,0
90022,0,0,0,5,0,0,0,0,0,6,0,0
90023,0,2,5,10,11,3,0,9,13,18,11,3
90024,0,0,19,17,39,0,0,0,24,26,53,0
90025,0,3,0,0,0,0,0,3,0,0,0,0
90026,0,0,0,1,0,0,0,0,0,1,0,0
90033,0,0,0,3,0,25,0,0,0,3,0,29
90036,0,0,0,4,0,1,0,0,0,5,0,1
90037,0,0,0,7,0,2,0,0,0,9,0,2
90038,0,0,0,0,31,0,0,0,0,0,42,0
90039,0,0,9,4,21,0,0,0,9,4,21,0
90040,0,0,0,7,0,0,0,0,0,8,0,0
90041,0,0,0,3,7,0,0,0,0,3,7,0
90042,0,0,11,15,0,0,0,0,11,15,0,0
90044,0,0,0,5,0,0,0,0,0,5,0,0
