PLSFILL_,County,RC_tree,CT_R16,RCT2012,RCT2013,RCT2014,RCT2015,RCT2016,STR_ID__14,Loc12,Loc13,Loc14,Loc15,Loc16,Loc17,Tree12,Tree13,Tree14,Tree15,Tree16,Tree17,Loc15_17,STR_ID__15,HLB11,HLB12,HLB15,HLB16,HLB17,HLB_all
37237,Placer,12,0.00007,0,0,0,0,0,37237,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
37342,Placer,1281,0.004215,0,0,0,0,0,37342,0,0,0,0,1,5,0,0,0,0,1,5,2,0,0,0,0,0,0,0
37445,Placer,944,0.0029,0,0,0,0,0,37445,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
37447,Placer,145,0.002342,0,0,0,0,0,37447,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
37528,Placer,532,0.002327,0,0,0,0,0,37528,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
37545,Placer,285,0.005358,0,0,0,0,0,37545,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0
37631,Placer,586,0.025994,0,0,0,0,0,37631,0,0,0,0,4,0,0,0,0,0,16,0,1,0,0,0,0,0,0,0
37632,Placer,2736,0.102062,0,0,0,0,0,37632,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
37633,Placer,1375,0.108224,0,0,0,0,0,37633,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
37647,Placer,72,0.000212,0,0,0,0,0,37647,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37650,Placer,108,0.000386,0,0,0,0,0,37650,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
37652,Placer,1133,0.002021,0,0,0,0,0,37652,0,0,0,0,4,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0
37740,Placer,1525,0.003786,0,0,0,0,0,37740,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
37754,Placer,119,0.000562,0,0,0,0,0,37754,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
37755,Placer,588,0.000722,0,0,0,0,0,37755,0,0,0,0,0,3,0,0,0,0,0,3,1,0,0,0,0,0,0,0
37848,Placer,1641,0.025053,0,0,0,0,0,37848,0,0,0,0,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0
37861,Placer,198,0.000129,0,0,0,0,0,37861,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
37955,Placer,903,0.021008,0,0,0,0,0,37955,0,0,0,0,0,6,0,0,0,0,0,10,2,0,0,0,0,0,0,0
37960,Placer,120,0.000193,0,0,0,0,0,37960,0,1,4,0,1,0,0,1,5,0,2,0,0,0,0,0,0,0,0,0
37962,Placer,158,0.000624,0,0,0,0,0,37962,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
37963,Placer,230,0.000202,0,0,0,0,0,37963,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0
38060,Placer,688,0.000754,0,0,0,0,0,38060,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
38067,Placer,922,0.000374,0,0,0,0,0,38067,0,0,0,0,0,3,0,0,0,0,0,3,1,0,0,0,0,0,0,0
38068,Placer,316,0.000378,0,0,0,0,0,38068,0,0,0,0,0,4,0,0,0,0,0,6,1,0,0,0,0,0,0,0
38169,Placer,2124,0.01097,0,0,0,0,0,38169,0,0,0,0,3,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0
38179,Placer,380,0.00048,0,0,0,0,0,38179,0,0,0,0,3,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0
38277,Placer,3644,0.049141,0,0,0,0,0,38277,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
38279,Placer,1146,0.004862,0,0,0,0,0,38279,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
38285,Placer,441,0.004413,0,0,0,0,0,38285,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
38288,Placer,272,0.001003,0,0,0,0,0,38288,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
38290,Placer,181,0.000519,0,0,0,0,0,38290,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
38390,Placer,2496,0.005808,0,0,0,0,0,38390,0,0,0,0,6,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0
38392,Placer,1571,0.013086,0,0,0,0,0,38392,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
38396,Placer,36,0.000522,0,0,0,0,0,38396,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
38399,Placer,119,0.000524,0,0,0,0,0,38399,0,0,0,0,0,2,0,0,0,0,0,5,1,0,0,0,0,0,0,0
38491,Placer,1696,0.000189,0,0,0,0,0,38491,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
38495,Placer,1866,0.039939,0,0,0,0,0,38495,0,0,0,0,0,2,0,0,0,0,0,5,1,0,0,0,0,0,0,0
38502,Placer,1567,0.005991,0,0,0,0,0,38502,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
38504,Placer,1416,0.018475,0,0,0,0,0,38504,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
38601,Placer,2595,0.010226,0,0,0,0,0,38601,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
38605,Placer,3282,0.049343,0,0,0,0,0,38605,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
38717,Placer,1268,0.025356,0,0,0,0,0,38717,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
38777,Placer,373,0.006786,0,0,0,0,0,38777,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
38778,Placer,589,0.007003,0,0,0,0,0,38778,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
38781,Placer,404,0.025811,0,0,0,0,0,38781,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
38783,Placer,2966,0.05668,0,0,0,0,0,38783,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
38792,Placer,531,0.001302,0,0,0,0,0,38792,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
38870,Placer,1610,0.025683,0,0,0,0,0,38870,0,0,0,0,0,15,0,0,0,0,0,21,5,0,0,0,0,0,0,0
38872,Placer,2574,0.02869,0,0,0,0,0,38872,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
38983,Sacramento,2199,0.035575,0,0,0,0,0,38983,0,0,0,0,5,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0
39010,Placer,1905,0.001256,0,0,0,0,0,39010,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
39024,El Dorado,40,0.009566,0,0,0,0,0,39024,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
39090,Sacramento,328,0.014422,0,0,0,0,0,39090,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0
