STR,HLBct12,HLBct13,HLBct14,HLBct15,HLBct16,HLBct17,Treect12,Treect13,Treect14,Treect15,Treect16,Treect17,ACPct12,ACPct13,ACPct14,ACPct15,ACPct16,ACPct17,HLB_FRisk
91883,0.030738066,0,0,4.440445098,6.945213786,22.1362298,0.111033027,0.349976545,0.494121188,6.778994186,7.010853998,15.8757633,0,0.153216297,0.127459136,3.604996277,10.36916989,8.514127383,86.94233798
91799,0.027178193,0,0,3.812106562,6.008204844,23.0765129,0.098154545,0.326695616,0.436760948,6.473986697,6.32789249,18.73218759,0,0.087737452,0.113067369,3.190395148,8.527078768,7.720071047,84.95803017
93180,0,0,0,0,0,51.13821701,0.047814378,0,0.443336855,0.418750588,0.097316007,18.86273824,0,0,0.280004463,0.996277325,0.419451053,11.95457711,84.65848302
93308,0,0,0,0,0.100902617,66.97177178,0.023183047,0,0.383748361,0.444174778,0.326801769,7.629558684,0,0.027481535,0.406316455,1.504026389,0.448570952,5.92597672,84.19251309
93245,0,0,0,0,0.094039318,61.31311425,0.032241177,0,0.574519209,0.517640485,0.270266733,11.34267451,0,0.024624868,0.37281523,1.342248966,0.412257544,7.472574663,83.76901696
93310,0,0,0,0,0.136850718,62.90993092,0.018480601,0,0.289784211,0.298041067,0.337049842,7.035627144,0,0.039541897,0.296075403,1.420450355,0.76757149,5.789843438,79.33924708
92275,0.046094614,0,0,0.82946303,1.121272225,54.55544403,0.16274839,0.501825805,0.748771882,2.381100097,1.267667926,4.694589539,0,0.166183752,0.18762623,2.425820318,2.915521936,5.78493538,77.78906515
93120,0,0,0,0,0.189536398,59.37902705,0.030217333,0.015354656,0.269300096,0.349683138,0.396215854,8.221162237,0,0.059683957,0.179710084,1.51430609,0.854426251,4.983826401,76.44244954
91898,0,0,0,5.952074276,7.215420104,18.95267778,0,0.071909113,0,7.738999597,6.277753038,10.22388994,0,0.081201882,0.011940424,3.376754017,6.870753268,8.466317687,75.23969113
93054,0,0,0,0,0.1299537,49.25436488,0.065794209,0.017835285,0.181099989,0.431419864,0.319783949,13.89007608,0,0.031158702,0.241183661,1.402511401,0.605911684,8.355613103,74.92670651
93051,0,0,0,0,0,35.42777458,0.12532845,0.014077312,0.149006532,0.228364306,0.130736657,21.9944004,0,0,0.147130184,0.70211392,0.560250053,14.87629709,74.35547948
93366,0,0,0,0,0,59.47388231,0.018963208,0,0.338867645,0.509849128,0.278040875,5.422525027,0,0.025616424,0.552935985,1.666465436,0.334160907,4.813209516,73.43451646
92278,0.030230591,0,0,0.87210573,1.166443836,48.98914599,0.106489739,0.359352063,0.491136783,2.159103248,1.199712422,4.193397369,0,0.155534511,0.12277947,2.392566143,2.545144011,6.332113581,71.11525549
92987,0,0,0,0,0,36.78051588,0.248050747,0.018245515,0.124779982,0.226227145,0.187113872,18.88581546,0,0,0.13737853,0.817875251,0.534943947,11.11571677,69.0766631
92416,0.02933197,0,0,0.537514055,0.833145089,48.5915339,0.102321994,0.337662872,0.478530161,1.668513749,0.981921523,3.419875097,0,0.301729413,0.107430584,2.827489569,2.135290048,5.667339579,68.0196296
92988,0,0,0,0,0.10958184,36.10028086,0.140421804,0.020110763,0.119404686,0.261196186,0.274375927,18.68117479,0,0.025668113,0.14289652,1.024036526,0.588011475,9.693664298,67.18082379
91967,0.034620714,0,0,3.453212687,5.043641269,18.10984548,0.124962815,0.379704815,0.556925009,5.037772407,4.974812676,9.276293274,0,0.320123393,0.142851055,3.073506172,8.768613826,7.539121357,66.83600695
93368,0,0,0,0,0.121031346,52.54679556,0.015844634,0,0.2050359,0.291534538,0.333806848,5.223470879,0,0.035626908,0.371058544,1.747803964,0.457378157,5.301782444,66.65116972
92263,1.124671042,0,0,0.616826037,1.605471957,6.578397337,4.391722791,10.21895541,16.00818609,1.556212712,5.259096537,2.039335444,0,0.160220821,3.407481178,5.976739994,5.140268736,2.227201984,66.31078808
93179,0,0,0,0,0,37.3197304,0.047635221,0,0.319490914,0.332859033,0.148119203,15.89971222,0,0,0.223384007,0.870817759,0.364438828,10.26920822,65.7953958
93249,0,0,0,0,0.184587382,49.48566039,0.018695903,0,0.260310524,0.266915777,0.405831559,7.010724892,0,0.066140372,0.154800745,1.561583368,1.253949103,4.522245677,65.1914457
93055,0,0,0,0,0.159725969,45.26669512,0.046679656,0.018485449,0.173179936,0.357966538,0.341285713,10.02156851,0,0.038111004,0.19309389,1.706533371,0.66920799,5.889164,64.88169715
93185,0,0,0,0,0.212776464,49.56817373,0.021476574,0.012733538,0.263524282,0.275610829,0.445249349,6.650619475,0,0.083983256,0.142933972,1.664784315,1.127567088,4.240667585,64.71010045
92412,0.043686289,0,0,0.529085259,0.83142903,43.02827515,0.151750665,0.470002324,0.714669257,1.801151793,1.049618667,3.826281698,0,0.21347838,0.178124843,3.426163365,2.27024578,6.01618398,64.55014648
93307,0,0,0,0,0,47.96382841,0.025024641,0,0.575185235,0.409377197,0.1624526,7.304515977,0,0.012351857,0.351398957,1.877146751,0.273853868,5.186557951,64.14169345
91977,0,0,0,4.240101461,5.212833052,16.69279526,0,0.071197224,0.011775022,5.494930721,4.568938817,8.350896845,0,0.092340843,0.036218933,2.861663466,6.563096761,9.609666969,63.80645537
93244,0,0,0,0,0,41.47269162,0.034137305,0,1.148995286,0.377436944,0.144200211,10.64513393,0,0,0.302021126,1.23120564,0.307621124,7.175333726,62.83877691
93412,0,0,0,0,0.094144344,50.24008431,0.014657653,0,0.199645884,0.470047604,0.350276738,4.095996211,0,0.027135431,0.757441017,1.929429981,0.299661613,4.283233278,62.76175406
91733,0,0,0,3.516225125,5.268206751,14.59325472,0,0.124918238,0,6.238216702,5.411677113,11.619985,0,0.048039851,0.026766972,2.672812772,7.008280194,5.873710659,62.40209409
91817,0,0,0,4.723257958,6.065592157,15.36273308,0,0.126800032,0,6.847488443,5.617752921,9.188980253,0,0.036979657,0,2.809717149,5.511448605,6.1021982,62.39294845
92049,0.032028497,0,0,3.005061172,4.067707956,20.17483513,0.114713962,0.351581996,0.516791762,4.220695167,3.741999886,8.613146444,0,0.171511857,0.131067806,2.72888327,6.495710572,7.653448258,62.01918373
92923,0,0,0,0,0.109316672,26.86281844,0.178527637,0.15747833,0.30505881,0.200099954,0.278304494,23.05781737,0,0.024977248,0.155558687,1.138863806,0.574213033,8.803035639,61.84607012
92205,0.036091015,0,0,1.187788654,1.597717397,35.60242988,0.128057083,0.397488099,0.584791248,2.65323267,1.636561045,4.611150821,0,0.155032071,0.146868016,2.214131185,3.595207607,5.239434909,59.7859817
92052,0.026999394,0,0,3.171809239,4.11623692,19.02248555,0.096315084,0.30380472,0.436185031,4.387209604,3.674921388,7.753553579,0,0.124072469,0.110248629,2.718599605,6.150386872,7.545801001,59.63862908
91734,0,0,0,3.758394142,5.324608177,13.48195389,0,0.203757343,0,6.443576172,5.176954205,9.806342865,0,0.03889069,0.012647812,2.569354179,6.212282238,5.016734196,58.04549591
92989,0,0,0,0,0.132050099,33.43293792,0.082060042,0.021650775,0.122846277,0.27698823,0.284110525,12.91466017,0,0.030598691,0.136037858,1.360679851,0.610882221,6.98528149,56.39078414
92604,0.054175315,0,0,0.03617513,0.236839173,42.05659783,0.195540036,0.629692971,0.914647296,0.741269058,0.579719826,2.289755332,0,0.174326751,0.235209533,2.088815684,1.982755977,2.876880575,55.09240048
91732,0.024024934,0,0,2.553665207,3.863336795,12.82991711,0.086695534,0.229255022,0.234191111,4.454163332,4.089440885,10.22997232,0,0.056121789,0.055144122,2.418791301,7.674899521,6.070930983,54.87054997
92333,0.738738667,0,0,0.462258469,1.204248707,6.919855498,2.095249247,8.644237471,13.22871887,0.727656216,2.985781352,2.135027545,0,0.142146686,3.764345554,5.663638245,3.625708733,2.237712871,54.57532413
93056,0,0,0,0,0.201462194,37.56771812,0.034592765,0.018636783,0.159838799,0.284524623,0.410581968,8.28002956,0,0.059951527,0.129399673,1.7084976,0.848903789,4.600205685,54.30434309
93311,0,0,0,0,0.159578215,41.19353312,0.01631675,0,0.208221318,0.232104386,0.376275093,5.760146636,0,0.048215547,0.195069326,1.443628715,0.697352396,3.880683125,54.21112462
92262,1.066606526,0,0,0.237766392,1.119695194,5.047196801,3.756508826,8.987920437,15.10668048,0.601805863,3.203673546,1.844413438,0,0.263685349,2.431037648,3.860576711,3.880004596,2.444973689,53.85254549
92203,0.04486766,0,0,1.096785744,1.487041455,30.7030571,0.159729828,0.487780558,0.726340508,2.368906028,1.623911002,4.184372387,0,0.177674815,0.182709016,2.225945301,3.669242774,4.588451178,53.72681535
93121,0,0,0,0,0.239746586,39.1605262,0.024362519,0.015148617,0.188961663,0.259499136,0.484420429,6.451939347,0,0.087976153,0.115805922,1.637941379,0.990566331,3.837081123,53.49397541
91881,0.035592903,0,0,2.343355002,3.494473168,13.3574497,0.129331482,0.387766205,0.571065924,3.806985102,3.979854908,8.126290378,0,0.23077677,0.148935939,2.625110126,8.223776807,5.72845335,53.18921776
93365,0,0,0,0,0,39.03653905,0.020074689,0,0.602220436,0.41730565,0.169388261,5.30243706,0,0,0.392361136,2.677365119,0.262112597,3.874218192,52.75402219
92047,0.038509738,0,0,2.294968674,3.205128484,17.27531203,0.138666212,0.425020964,0.620329592,3.508120447,3.275873651,6.557500729,0,0.325426941,0.158022724,2.523860301,6.811488433,5.542843876,52.70107279
92207,0.029726322,0,0,1.196753166,1.593648939,29.51456947,0.105219246,0.343728381,0.481925173,2.452281298,1.572682113,4.149215111,0,0.135918239,0.120857439,2.37463373,3.240031481,5.023334315,52.33452442
93413,0,0,0,0,0.105945416,40.39036769,0.013533293,0,0.159709001,0.28259438,0.385907577,3.963417581,0,0.03151094,0.381686782,2.279914069,0.330061755,3.972755544,52.29740402
91964,0.041144249,0,0,2.088123995,3.019947028,13.64207819,0.149522149,0.449807447,0.660441938,3.739241761,3.892775685,6.507120318,0,0.697895842,0.170961879,2.624095266,8.36769183,5.870989081,51.92183666
92125,0.034352051,0,0,1.784179908,2.402746123,22.27034334,0.122538703,0.381697193,0.555235251,2.957334194,2.351797847,5.394863341,0,0.154214503,0.140091961,2.279941167,5.783678283,5.218076862,51.83109072
93411,0,0,0,0,0,39.6936202,0.015633436,0,0.266173984,1.154955568,0.204491495,4.283736494,0,0.012539698,0.573028782,1.668778144,0.234093426,3.459241407,51.56629263
